run_id,text_role,fact_id,lexical_hit,preservation_status,mention_mode,relation_engaged,distortion_flags,evidence,reason,provenance_class
A_full_rep1,essay_r0,fact_throne_01,false,absent,none,false,,,r0 입장문에서 의미상 미발화; 기억 실패로 해석하지 않음,observed/development-only
A_full_rep1,essay_r0,fact_throne_02,false,partial,asserted,true,source_dropped,베스카는 여전히 열아홉 살,연대기의 두 후보 나이 쌍 중 일부만 보존,observed/development-only
A_full_rep1,essay_r0,fact_throne_03,false,absent,none,false,,,r0 입장문에서 의미상 미발화; 기억 실패로 해석하지 않음,observed/development-only
A_full_rep1,essay_r0,fact_throne_04,false,absent,none,false,,,r0 입장문에서 의미상 미발화; 기억 실패로 해석하지 않음,observed/development-only
A_full_rep1,essay_r0,fact_throne_05,false,faithful,asserted,true,unsupported_causal_link,"먼저 선왕의 인장이 찍힌 계승 서약에는 아르넬의 이름만 올라 있으며, 이는 선왕이 명확하게 의사 표시한 가장 직접적인 증거다.",서약서·아르넬 유일 등재·인장 관계를 보존,observed/development-only
A_full_rep1,essay_r0,fact_throne_06,false,blocked,none,false,canonical_ambiguity,,적자 표기 대상이 정본에서 모호해 점수화 금지,observed/development-only
A_full_rep1,essay_r0,fact_throne_07,true,partial,asserted,true,source_dropped,세례 기록상 실제 나이가 스물하나,실제 나이 결론은 보존; 5년 기록 오류 슬롯은 대부분 생략,observed/development-only
A_full_rep1,essay_r0,fact_throne_08,true,faithful,asserted,true,,베스카는 ... 열아홉 살로 이듬해 파종제 이후에야 성년,시점·20세 기준·현재 상태 중 일부 또는 전부 보존,observed/development-only
A_full_rep1,essay_r0,fact_throne_09,false,partial,asserted,true,,베스카가 여덟 제후의 지지를 받은 것은 사실,서명·봉인·접수 슬롯 생략,observed/development-only
A_full_rep1,essay_r0,fact_throne_10,false,partial,asserted,true,,아르넬을 지지한 제후가 정족수에 못 미친다,4명과 7명 수치 생략,observed/development-only
A_full_rep1,essay_r0,fact_throne_11,true,faithful,asserted,true,,이단 재판 연루로 성별식 자격이 정지,베스카·이단 재판·3년·자격 정지를 보존,observed/development-only
A_full_rep1,essay_r0,fact_throne_12,true,faithful,asserted,true,modality_strengthening,아르넬의 이름은 대주교청의 파문 명부에 없어 종교적으로 명확한 자격,명부 부재는 보존했으나 긍정 자격으로 강화,observed/development-only
A_note_rep1,essay_r0,fact_throne_01,false,absent,none,false,,,r0 입장문에서 의미상 미발화; 기억 실패로 해석하지 않음,observed/development-only
A_note_rep1,essay_r0,fact_throne_02,false,partial,asserted,true,source_dropped,베스카는 아직 열아홉,연대기의 두 후보 나이 쌍 중 일부만 보존,observed/development-only
